tradeDate,spotPrice,stockPrice,expirDate,dte,strike,delta,gamma,vega,theta,rho,callValue,callBidPrice,callAskPrice,callOpenInterest,callVolume,putValue,putBidPrice,putAskPrice,putOpenInterest,putVolume
2024-12-20,520.3,520.3,2024-12-20,1,340.0,0.9999990678013834,-4.634514048585597e-13,1.0000035729668396e-05,-0.0313744097172107,0.0004657506239087,180.3015687263687,178.34,181.78,151,64,0.0,0.0,0.01,6622,0
2021-10-05,358.38,358.38,2021-10-11,7,396.0,5.137741095188258e-06,2.845722106211812e-06,2.160748293711125e-05,-1.6013144180718702e-05,2.980115244983652e-07,8.932082715445918e-06,0.0,0.01,19,0,37.62471088754437,37.51,37.74,0,0
2024-05-03,435.52,435.52,2024-06-21,50,363.78,0.9740058436403264,0.0013990056945555,0.0915433524327295,-0.0797293092686941,0.4690414780239721,74.78365197922487,74.64,74.93,397,0,0.3615063611398568,0.36,0.37,2719,1
2025-06-18,529.79,529.79,2025-11-21,157,205.0,0.9964388823351364,1.7498437946294397e-05,0.0121709751435551,-0.0181802118738195,0.8568962400299097,327.4542907911075,326.0,329.75,2,0,0.2477473600575301,0.3,0.35,71,4
2024-02-09,437.06,437.06,2024-02-21,13,405.0,0.9728277945036096,0.0034827629704595,0.0514747603415605,-0.0953648277578326,0.1290888395180914,32.8555707825583,32.7,32.96,0,0,0.1644761947203978,0.16,0.17,0,0
2024-12-17,535.77,535.77,2025-03-31,105,605.0,0.1180522805698954,0.0041940383548187,0.5938435302321321,-0.0529126333106522,0.1726119349170436,2.3426762689683485,2.31,2.37,194,0,69.45140149746709,69.42,69.83,0,0
2024-07-29,465.12,465.12,2025-03-21,236,260.0,0.9798028067733212,0.0002715887200017,0.1499517938175477,-0.0409889917787961,1.5608764426768715,213.6982756234169,213.45,213.95,4,0,0.7396975116807922,0.72,0.76,49,0
2022-03-18,351.15,351.15,2022-09-16,183,364.0,0.4517079470462939,0.0066769642478528,0.9730756310245592,-0.0657999357938761,0.699015776582838,18.73826372933956,18.61,18.88,150,10,31.052397324518875,30.96,31.16,278,40
2021-09-22,370.2,370.2,2021-10-04,13,412.0,1.7568237534145187e-05,7.814921439409317e-06,5.359019984177397e-05,-3.061473366505738e-05,2.127506575016561e-06,3.782725838963848e-05,0.0,0.01,0,0,41.80000000000001,41.69,41.96,0,0
2020-03-02,213.53,213.53,2022-01-21,691,267.0,0.1910813301902949,0.0055668564553959,0.8196723042576847,-0.0095161419929129,0.6411952899020218,4.66715656085683,2.51,6.99,0,0,57.53534952609135,55.5,60.0,0,0
2024-08-22,474.55,474.55,2024-08-26,5,413.0,0.999999994765704,2.5210879639955723e-09,1.001479677569556e-05,-0.0707356135712551,0.0453391125773747,61.83372553540001,61.73,61.89,1,0,0.0197064472422576,0.01,0.02,0,0
2023-10-04,360.19,360.19,2024-09-20,353,205.0,0.965355961467885,0.0005141160681772,0.2468232230284919,-0.0340384774749305,1.757854660628965,165.65688035366233,165.24,166.08,0,0,1.6230331268818323,1.51,1.77,593,0
2024-10-28,496.05,496.05,2024-11-29,33,497.0,0.5298143605922013,0.0133084670077267,0.5850821176776757,-0.2231721493889548,0.219671076222444,13.01696515056011,12.97,13.06,510,707,11.840026180444951,11.8,11.88,181,176
2023-10-24,359.48,359.48,2024-09-30,343,359.0,0.6221112484849896,0.0046805837437473,1.3107229816714658,-0.0686446403230936,1.718837787532948,40.17712337520708,39.97,40.41,0,0,25.446136596249744,25.33,25.57,13,3
2020-09-08,270.92,270.92,2020-09-25,18,294.0,0.1369917158367497,0.0110096060712166,0.1231208698035569,-0.1259593484035412,0.0156805739953687,1.3179234022364237,1.28,1.36,874,44,24.807600772501008,24.5,25.07,848,7
2024-08-27,476.99,476.99,2024-08-30,4,413.0,0.9999991222251128,2.907826149243715e-07,1.2103503007862207e-05,-0.1038695433850345,0.0340293934852111,64.30270562996562,64.27,64.5,1,0,0.0196432262355647,0.01,0.02,51,0
2024-11-04,486.33,486.33,2024-11-05,2,481.0,0.8253598543012194,0.0441207609674386,0.0640859358621446,-0.8122070321278774,0.0109391601457919,5.948078885273821,5.9,6.0,104,238,0.5442205530727221,0.54,0.55,1686,8534
2024-03-21,446.47,446.47,2024-12-31,286,498.0,0.3652164077671086,0.0051961214726098,1.507865852224857,-0.0687366553529098,1.1430693634917934,15.752841663289354,15.62,15.92,0,0,53.86913305114651,53.75,54.32,1,0
2021-10-12,356.71,356.71,2022-06-30,262,337.0,0.6412890582719173,0.0048342109220585,1.127052155340112,-0.0542381966648629,1.1593200968154738,40.30143808101486,40.08,40.52,2,0,21.056467815548476,20.87,21.24,1,0
2021-05-05,329.48,329.48,2021-12-17,227,287.0,0.7638394945775171,0.0041984517846917,0.7802201098440659,-0.0484525911452657,0.9862982168318029,52.956090339785405,52.76,53.16,13,0,11.116143191306469,11.07,11.16,177,0
2025-03-27,483.41,483.41,2025-04-17,22,365.0,0.999675092882948,2.879003250729529e-05,0.0012232276356875,-0.0035587990382347,0.209352914524289,119.54601454572416,117.76,121.56,7,0,0.0773987778860283,0.08,0.09,861,0
2024-10-01,481.27,481.27,2024-10-07,7,469.0,0.8294746944331366,0.0185463691810306,0.1510600323426602,-0.3469626349584961,0.0634311385019123,14.077536292603511,13.95,14.19,0,1,1.402864255168044,1.39,1.42,72,750
